,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,Fire Alarm
56873,46.21,15.73,659,400,13710,20544,936.635,0.48,0.5,0
5897,-8.834,49.89,58,400,13235,20205,939.644,2.07,2.16,1
33163,20.9,50.26,315,400,13110,19956,939.408,0.22,0.23,1
5225,-9.003,53.02,0,400,13276,20245,939.706,2.51,2.61,1
23133,-22.01,49.24,1408,434,12960,19371,938.721,1.75,1.82,1
18898,20.753,53.83,1184,413,12909,19427,938.704,1.6,1.66,1
6871,-5.74,50.62,237,400,13130,20035,939.639,0.48,0.5,1
25424,12.2,50.81,29,400,12720,19731,939.844,0.15,0.18,0
35142,22.75,56.67,935,719,12769,19500,939.088,2.32,2.41,1
61044,18.653,49.67,6085,400,13100,19572,936.914,0.35,0.36,0
2301,19.687,53.83,13,400,13215,20151,939.616,1.11,1.15,0
51436,27.91,40.4,41,429,12824,20731,937.607,2.09,2.17,0
29219,22.42,47.56,90,400,13229,20113,939.661,1.85,1.92,1
19130,20.743,53.43,1235,406,12916,19426,938.722,1.48,1.54,1
30590,21.97,49.58,35,400,13251,20219,939.74,2.35,2.44,1
39346,26.83,48.06,1143,470,12861,19450,938.917,2.32,2.41,1
11840,15.32,47.49,1055,593,12813,19459,939.07,1.93,2.0,1
13992,17.761,48.1,1061,490,12854,19464,938.92,1.58,1.64,1
33785,20.96,50.57,347,400,13074,19919,939.289,0.28,0.29,1
35918,23.96,53.78,1019,666,12790,19474,939.032,2.61,2.71,1
2330,19.385,47.09,39,400,13198,20124,939.595,1.03,1.07,0
51908,29.3,40.5,72,431,12779,20681,937.52,2.06,2.14,0
43118,26.32,51.3,1132,400,12919,19449,938.701,1.96,2.04,1
44925,26.67,48.83,1186,400,12933,19434,938.743,1.56,1.62,1
59985,19.884,42.79,189,429,12775,20527,937.355,1.83,1.91,0
62416,-12.835,13.85,1934,400,13630,20186,936.669,0.97,1.01,0
60741,13.554,46.41,16,400,13261,21132,937.131,1.76,1.83,0
41656,24.78,52.48,1166,405,12883,19437,938.753,1.86,1.94,1
44861,26.5,49.9,1157,400,12926,19438,938.73,1.7,1.76,1
22182,-15.408,52.85,1373,412,12958,19382,938.699,1.84,1.91,1
50078,24.59,41.35,0,735,13354,20087,931.217,6289.34,13637.9,1
6835,-5.861,56.17,228,400,13139,20037,939.597,0.54,0.56,1
4068,-1.186,52.71,118,400,13227,20092,939.626,2.11,2.19,1
15510,12.131,47.05,1145,438,12877,19442,938.826,1.5,1.56,1
60168,16.32,42.71,203,420,12776,20529,937.426,1.74,1.81,0
53464,28.69,41.8,139,402,12791,20590,937.341,1.92,1.99,0
8334,-4.553,50.67,330,400,13105,19937,939.364,0.32,0.33,1
17173,14.864,48.31,1153,400,12894,19435,938.778,1.45,1.5,1
62430,-11.51,12.83,1869,400,13646,20195,936.676,0.81,0.84,0
57707,4.486,40.77,100,424,12788,20654,937.558,2.01,2.09,0
9671,-4.39,61.09,852,954,12646,19517,939.13,2.49,2.58,1
56404,59.86,11.18,60000,4719,11716,17199,936.762,607.37,753.73,0
31112,19.24,55.62,157,400,13184,20115,939.675,0.92,0.96,1
52217,27.14,42.63,117,433,12770,20621,937.511,2.19,2.27,0
1377,26.483,49.29,10,400,13098,19997,939.712,0.42,0.44,0
29353,20.36,51.48,115,400,13220,20103,939.644,2.26,2.35,1
14358,15.947,47.4,1168,470,12857,19442,938.904,2.11,2.19,1
40103,24.61,53.07,1099,430,12870,19455,938.827,1.65,1.71,1
53099,28.57,42.04,134,417,12779,20583,937.354,1.78,1.85,0
11796,14.901,50.5,1048,609,12813,19463,939.08,2.09,2.17,1
25562,11.67,57.24,6,400,12825,19805,939.828,0.41,0.45,0
13291,20.437,46.76,1153,540,12837,19442,938.911,1.73,1.8,1
7792,-4.084,53.28,302,400,13109,19958,939.414,0.27,0.28,1
31908,21.04,50.43,218,400,13145,20047,939.59,0.38,0.4,1
2206,20.645,47.37,3,400,13195,20117,939.596,0.81,0.84,0
37027,25.26,48.55,1151,609,12810,19452,939.009,2.01,2.08,1
42100,26.51,50.03,1090,400,12910,19455,938.786,2.23,2.31,1
32650,20.46,52.49,269,400,13129,20000,939.427,0.45,0.47,1
29171,20.58,49.77,107,400,13237,20113,939.653,2.17,2.26,1
48026,24.41,53.84,1346,405,12965,19394,938.716,1.82,1.9,1
10469,0.766,50.46,900,668,12797,19507,939.114,2.29,2.38,1
2129,21.387,49.7,0,400,13162,20076,939.636,1.06,1.1,0
59652,17.059,47.97,156,429,12769,20562,937.361,1.53,1.59,0
35910,24.22,52.76,990,659,12790,19481,939.064,2.48,2.58,1
49239,26.25,50.41,1159,400,13030,19434,938.784,2.29,2.38,1
35635,25.41,52.13,896,663,12795,19500,939.081,2.11,2.2,1
48997,26.06,52.73,1329,400,12989,19392,938.731,1.58,1.64,1
24179,-10.299,53.66,1143,400,13012,19439,938.76,1.98,2.05,1
8686,-4.991,54.67,349,400,13076,19908,939.309,0.19,0.2,1
49630,24.93,51.3,1316,407,12987,19402,938.817,2.17,2.26,1
59293,0.823,47.83,169,433,12772,20546,937.357,1.96,2.03,0
17280,15.267,53.79,1172,406,12902,19433,938.783,1.59,1.65,1
27632,18.2,52.29,60,400,13194,20100,939.643,1.3,1.35,0
40023,27.15,47.07,1080,436,12873,19462,938.817,2.01,2.09,1
21287,-1.748,53.33,1281,404,12956,19399,938.687,1.82,1.89,1
14782,13.992,47.36,1105,456,12866,19452,938.842,1.81,1.88,1
3808,1.694,46.45,155,400,13211,20061,939.665,1.97,2.05,1
40626,25.6,47.78,1276,454,12853,19410,938.813,1.69,1.76,1
46579,24.58,53.14,1333,416,12954,19399,938.75,1.77,1.84,1
32132,19.67,56.73,225,400,13142,20038,939.524,0.52,0.54,1
61656,6.882,18.52,0,400,13595,21260,936.8,1.16,1.2,0
51240,29.69,39.26,45,423,12862,20746,937.616,2.26,2.35,0
53831,28.84,42.11,168,424,12776,20556,937.365,1.59,1.65,0
36872,24.3,53.37,1124,598,12816,19447,939.026,2.04,2.11,1
20067,15.986,47.63,1237,400,12931,19420,938.729,1.58,1.64,1
48011,24.92,51.66,1356,410,12964,19391,938.72,1.96,2.04,1
32752,20.05,55.45,278,400,13124,19981,939.405,0.38,0.39,1
8822,-5.123,54.84,339,400,13085,19925,939.289,0.48,0.5,1
6451,-7.206,50.15,202,400,13146,20061,939.626,1.1,1.14,1
20047,16.185,49.9,1233,406,12932,19420,938.729,1.39,1.44,1
14670,14.469,46.94,1109,458,12871,19450,938.868,1.99,2.07,1
11958,16.389,47.59,1120,594,12818,19457,939.05,2.26,2.35,1
21091,1.517,47.32,1392,431,12935,19369,938.698,1.64,1.7,1
16318,12.481,53.61,1140,411,12886,19444,938.75,1.54,1.6,1
1866,23.651,52.53,86,400,13105,19976,939.6,0.85,0.88,0
25051,12.69,56.06,0,400,12538,19624,939.709,0.44,1.66,0
30336,21.35,53.81,0,400,13274,20229,939.726,2.39,2.48,1
22310,-16.942,53.66,1404,415,12958,19376,938.707,1.75,1.82,1
915,27.04,57.34,0,400,13034,19958,939.75,0.13,0.13,0
22125,-14.677,53.25,1348,406,12965,19396,938.71,1.85,1.92,1
4756,-7.08,48.68,43,400,13251,20173,939.682,2.34,2.43,1
2682,15.453,46.03,93,400,13187,20075,939.662,1.04,1.08,0
38845,24.61,52.92,1153,509,12842,19444,938.912,2.09,2.17,1
39788,25.3,49.37,1224,482,12855,19423,938.839,2.39,2.49,1
14133,17.069,48.53,1161,513,12844,19446,938.907,1.93,2.01,1
12617,20.383,47.55,1063,559,12834,19464,938.987,1.77,1.84,1
9472,-4.9,59.48,666,635,12819,19586,939.203,2.45,2.54,1
47408,25.13,49.99,1394,405,12961,19375,938.752,2.13,2.21,1
47178,24.62,53.11,1333,408,12959,19391,938.702,1.81,1.88,1
31995,18.82,54.92,239,400,13127,20025,939.578,0.47,0.48,1
51107,33.0,18.24,0,400,13377,21073,930.894,0.92,0.95,1
48880,26.37,50.59,1312,400,12981,19388,938.713,1.89,1.96,1
9612,-4.569,62.29,737,736,12762,19548,939.14,2.69,2.8,1
7793,-4.084,53.72,300,400,13109,19964,939.405,0.27,0.28,1
9837,-3.746,56.11,756,940,12652,19529,939.145,2.31,2.4,1
26166,14.35,54.25,30,400,13047,19937,939.808,0.37,0.38,0
17754,17.229,53.56,1170,400,12903,19437,938.685,1.54,1.6,1
14184,16.815,47.21,1074,472,12861,19460,938.92,1.54,1.6,1
22749,-20.829,49.37,1302,400,12972,19400,938.734,1.43,1.49,1
11474,11.585,48.67,1050,620,12808,19460,939.094,2.31,2.4,1
11708,14.036,49.25,998,602,12817,19482,939.068,2.47,2.57,1
36970,24.96,50.45,1113,605,12812,19449,939.032,1.95,2.03,1
54081,26.41,46.51,183,433,12770,20544,937.413,1.96,2.04,0
21768,-9.557,53.44,1344,407,12954,19389,938.71,1.92,1.99,1
61662,6.474,18.28,0,400,13643,21346,936.804,1.22,1.26,0
30449,19.62,54.87,31,400,13248,20210,939.729,2.18,2.27,1
49435,26.83,48.03,1337,414,12989,19399,938.797,2.03,2.1,1
17492,16.115,48.0,1224,433,12891,19422,938.727,1.74,1.81,1
58129,-9.246,41.06,66,400,12790,20667,937.497,2.48,2.58,0
48611,24.89,51.73,1367,407,12967,19374,938.708,1.53,1.59,1
40633,24.93,51.64,1218,445,12870,19429,938.809,1.81,1.88,1
52265,29.03,40.95,94,400,12787,20641,937.476,1.71,1.78,0
47043,27.01,47.63,1366,400,12966,19396,938.721,1.99,2.07,1
6611,-6.642,50.5,202,400,13147,20067,939.608,0.87,0.9,1
1429,26.281,49.78,13,400,13104,19997,939.689,0.64,0.67,0
35277,24.9,52.99,908,689,12786,19510,939.074,2.12,2.21,1
22398,-17.902,48.15,1335,400,12970,19395,938.728,1.86,1.94,1
10196,-1.561,54.76,950,725,12775,19501,939.068,2.38,2.47,1
59287,0.579,46.8,198,459,12767,20531,937.335,1.91,1.99,0
1096,27.102,51.07,4,400,13048,19957,939.757,0.21,0.22,0
48838,26.92,47.98,1367,400,12982,19386,938.694,1.79,1.86,1
39658,27.12,47.18,1113,459,12863,19451,938.87,2.14,2.22,1
8415,-4.657,55.65,329,400,13100,19934,939.378,0.38,0.4,1
58892,-5.038,45.17,132,400,12795,20590,937.366,1.89,1.97,0
22828,-21.261,47.69,1354,402,12971,19390,938.747,2.19,2.28,1
12376,19.38,47.52,1073,568,12829,19469,938.985,1.85,1.92,1
31437,21.57,49.17,185,400,13165,20085,939.624,0.89,0.93,1
20982,3.311,52.56,1389,422,12941,19373,938.694,1.88,1.95,1
9440,-4.959,63.24,625,511,12888,19634,939.166,2.92,3.04,1
32625,18.64,54.86,294,400,13118,19979,939.45,0.3,0.31,1
47773,24.82,52.27,1390,418,12972,19393,938.715,1.66,1.73,1
1531,25.812,56.04,22,400,13110,19994,939.65,0.62,0.64,0
6186,-8.08,51.94,141,400,13188,20129,939.666,0.99,1.03,1
46930,25.0,51.12,1383,420,12953,19383,938.744,1.98,2.06,1
11635,13.292,53.43,1076,616,12810,19467,939.05,1.76,1.82,1
60380,12.63,45.95,0,400,13078,20859,937.47,2.02,2.1,0
51885,27.66,46.95,48,411,12797,20714,937.534,2.15,2.23,0
33714,20.7,51.71,341,400,13081,19919,939.295,0.32,0.34,1
35576,25.33,52.38,906,662,12797,19507,939.103,2.36,2.46,1
23327,-21.639,53.55,1371,416,12967,19383,938.695,1.7,1.77,1
50550,39.17,14.94,0,2146,12717,20219,930.919,0.88,0.92,1
61240,20.781,26.01,10174,400,12857,19310,936.892,0.58,0.61,0
50661,40.9,13.37,2339,16335,11653,19341,930.929,8.52,8.85,1
46130,26.8,48.08,1300,400,12953,19406,938.689,2.16,2.24,1
14015,17.65,49.93,1113,505,12848,19443,938.894,2.04,2.12,1
9593,-4.622,58.77,714,713,12774,19547,939.162,2.19,2.27,1
55738,57.54,18.47,52737,956,12522,18427,936.901,0.9,0.94,0
41916,26.02,53.05,1073,400,12903,19459,938.769,1.91,1.99,1
2693,15.324,51.18,94,400,13189,20078,939.646,1.08,1.13,0
61151,20.197,24.54,814,400,13174,20417,936.764,1.73,1.8,0
32018,20.61,52.76,225,400,13142,20039,939.551,0.51,0.53,1
41519,27.08,47.37,1113,400,12893,19456,938.76,1.63,1.69,1
1862,23.682,51.35,79,400,13102,19966,939.603,0.8,0.83,0
52523,26.46,45.76,100,400,12782,20630,937.465,1.81,1.88,0
16503,12.849,52.07,1113,400,12899,19459,938.749,1.77,1.83,1
32942,20.94,50.03,301,400,13121,19965,939.415,0.2,0.21,1
28327,22.26,55.95,232,400,13162,19974,939.666,2.4,2.49,1
5124,-8.755,48.52,50,400,13237,20172,939.682,1.62,1.69,1
56982,24.733,39.45,46,424,12858,20746,937.616,2.24,2.33,0
36034,24.16,53.21,1036,653,12793,19470,939.08,2.16,2.25,1
42838,27.06,47.47,1094,400,12920,19459,938.713,1.88,1.95,1
37167,24.44,53.08,1059,590,12819,19456,938.995,2.33,2.42,1
20230,14.208,48.83,1166,400,12947,19440,938.734,1.91,1.98,1
32885,20.91,50.09,298,400,13112,19960,939.407,0.37,0.39,1
49286,24.34,53.53,1287,400,13003,19404,938.788,2.02,2.1,1
1091,27.105,52.69,0,400,13058,19964,939.782,0.24,0.25,0
54380,26.51,46.18,203,440,12765,20516,937.39,1.52,1.58,0
3734,2.557,49.03,235,400,13157,19984,939.682,1.44,1.5,1
38293,24.96,51.33,1163,538,12833,19441,938.922,1.86,1.93,1
50140,26.88,44.43,551,3007,12680,19428,931.179,12416.09,32827.6,1
17738,17.16,51.61,1161,412,12900,19431,938.707,1.5,1.55,1
22439,-18.321,54.11,1346,400,12965,19388,938.734,1.73,1.8,1
11709,14.046,48.95,998,598,12819,19478,939.067,2.46,2.56,1
8758,-5.065,57.27,359,400,13078,19916,939.282,0.37,0.38,1
60837,14.943,62.22,681,400,13238,20459,937.08,0.9,0.93,0
43130,26.88,48.02,1193,402,12905,19435,938.703,2.25,2.34,1
2547,17.015,47.82,62,400,13193,20112,939.616,0.64,0.66,0
61231,20.761,29.81,11458,400,12824,19231,936.886,0.51,0.53,0
15126,12.825,49.84,1040,422,12877,19476,938.822,1.86,1.94,1
10597,2.007,49.16,923,671,12795,19501,939.074,2.15,2.23,1
18924,20.77,47.62,1201,400,12922,19439,938.686,1.81,1.88,1
35650,26.02,48.97,931,666,12793,19492,939.103,1.99,2.07,1
28844,22.08,49.06,158,400,13218,20052,939.645,2.24,2.33,1
60137,16.994,48.69,183,426,12771,20525,937.387,1.82,1.89,0
18470,19.953,53.35,1197,401,12913,19432,938.73,1.58,1.64,1
21500,-5.278,47.95,1277,400,12965,19408,938.728,1.93,2.01,1
53487,26.06,47.36,148,422,12782,20575,937.3,1.67,1.73,0
5557,-9.267,52.75,30,400,13255,20221,939.727,2.36,2.45,1
16517,12.881,47.88,1186,402,12890,19434,938.769,1.61,1.67,1
27347,17.55,53.75,19,400,13200,20140,939.564,1.27,1.31,0
52881,26.48,45.41,91,401,12781,20628,937.403,1.75,1.82,0
57149,27.054,45.83,7,400,12853,20769,937.587,1.85,1.92,0
41340,27.11,47.3,1163,400,12882,19437,938.753,1.97,2.05,1
3416,6.413,61.11,293,400,13131,19919,939.668,1.53,1.59,1
2248,20.227,49.87,0,400,13224,20175,939.618,0.98,1.01,0
55982,45.59,26.13,28508,495,12768,18851,936.82,23.24,24.15,0
39724,27.18,47.0,1109,451,12863,19453,938.857,1.73,1.8,1
1923,23.199,51.39,74,400,13115,19976,939.618,0.61,0.64,0
59242,-1.116,48.36,163,422,12774,20551,937.331,1.86,1.94,0
53213,28.29,42.97,131,400,12791,20584,937.362,2.25,2.34,0
61601,10.445,16.36,53,400,13560,21103,936.809,1.03,1.07,0
37070,26.78,47.67,1034,583,12822,19460,939.001,1.92,2.0,1
57093,27.019,42.03,79,430,12836,20705,937.578,2.2,2.29,0
17744,17.186,52.79,1141,400,12906,19444,938.711,1.62,1.68,1
36852,24.78,51.26,1132,617,12808,19442,939.047,2.31,2.4,1
50139,26.84,45.04,594,3586,12578,19376,931.191,12601.58,33098.86,1
55632,53.14,21.45,26653,689,12668,18836,936.911,0.73,0.76,0
18633,20.364,48.91,1308,432,12899,19402,938.738,1.48,1.54,1
45417,26.95,47.49,1218,400,12962,19433,938.767,2.31,2.4,1
39456,26.06,52.73,1096,451,12871,19456,938.911,2.12,2.2,1
7637,-4.105,55.94,291,400,13111,19966,939.457,0.39,0.4,1
8342,-4.563,50.12,326,400,13109,19939,939.371,0.28,0.29,1
55623,52.51,21.15,22667,637,12686,18902,936.888,0.76,0.79,0
29307,19.97,53.46,113,400,13220,20099,939.654,2.02,2.1,1
9461,-4.921,56.95,642,536,12877,19628,939.191,2.95,3.07,1
12214,18.389,49.26,1092,603,12814,19460,939.03,2.28,2.37,1
61898,-10.227,24.15,60000,14443,11160,16300,936.863,8011.24,9527.07,0
42119,27.05,47.41,1115,400,12903,19446,938.79,1.73,1.8,1
26498,16.27,49.89,21,400,13106,20001,939.683,0.42,0.43,0
61755,-0.12,31.24,60000,1660,12191,18012,936.878,225.18,233.95,0
47841,24.55,53.44,1385,405,12964,19378,938.726,1.9,1.97,1
40903,26.65,48.88,1126,400,12881,19449,938.775,1.98,2.06,1
54448,26.12,48.13,211,430,12767,20521,937.392,1.57,1.63,0
33574,18.55,55.96,338,400,13088,19920,939.323,0.39,0.4,1
2727,14.921,46.85,87,400,13190,20087,939.629,1.07,1.11,0
22033,-13.441,48.57,1362,400,12965,19385,938.748,1.98,2.06,1
752,26.646,53.22,0,400,12954,19899,939.774,0.25,0.26,0
16390,12.614,48.73,1124,400,12891,19446,938.731,2.13,2.21,1
197,22.577,49.52,8,402,12596,19677,939.806,0.67,1.52,0
35876,25.78,50.9,988,655,12794,19477,939.062,2.51,2.6,1
53769,28.82,42.18,159,417,12772,20559,937.341,2.08,2.16,0
36238,26.36,48.53,1050,630,12801,19463,939.097,2.5,2.6,1
34284,19.98,60.15,613,570,12855,19653,939.231,2.86,2.98,1
41425,24.58,53.27,1176,415,12881,19440,938.741,1.49,1.54,1
61307,20.604,24.59,20472,657,12685,18943,936.874,0.71,0.74,0
59898,20.758,48.65,185,426,12767,20531,937.341,2.02,2.1,0
48849,25.05,50.81,1400,417,12967,19374,938.7,1.82,1.89,1
58883,-4.996,47.96,131,414,12779,20595,937.343,1.99,2.07,0
57386,20.938,46.43,70,400,12826,20696,937.534,1.75,1.82,0
37577,24.72,52.21,1097,565,12822,19461,939.008,1.85,1.92,1
48423,26.98,47.72,1341,401,12974,19390,938.702,1.97,2.05,1
29975,19.71,54.81,47,400,13239,20178,939.694,2.07,2.15,1
42157,26.19,52.14,1111,400,12906,19457,938.803,1.32,1.37,1
28823,20.23,51.7,174,400,13210,20052,939.641,2.28,2.37,1
36794,24.69,51.81,1078,609,12818,19462,939.085,2.04,2.12,1
5568,-9.263,54.81,39,400,13253,20211,939.758,2.55,2.65,1
36150,24.38,52.58,1107,661,12786,19447,939.084,2.39,2.48,1
13670,19.206,52.88,1118,517,12846,19457,938.864,2.22,2.31,1
11798,14.921,51.27,1134,622,12806,19453,939.078,2.02,2.09,1
4589,-5.94,47.48,33,400,13269,20192,939.653,2.39,2.48,1
32314,20.77,51.13,256,400,13127,20011,939.498,0.47,0.49,1
39463,26.71,48.64,1128,470,12857,19438,938.893,2.36,2.46,1
32012,19.72,56.63,210,400,13150,20046,939.55,0.55,0.57,1
31096,19.57,54.16,149,400,13175,20112,939.68,1.35,1.41,1
40509,25.2,50.03,1216,441,12862,19433,938.829,1.72,1.79,1
2228,20.427,53.56,3,400,13192,20121,939.614,0.79,0.82,0
36202,24.72,50.52,1117,652,12792,19446,939.079,1.9,1.98,1
26804,16.47,53.84,54,400,13121,20001,939.648,0.76,0.79,0
6193,-8.059,50.0,155,400,13182,20109,939.673,0.84,0.87,1
54395,25.89,48.82,202,431,12766,20521,937.385,1.77,1.84,0
32744,18.36,56.31,308,400,13111,19965,939.422,0.42,0.44,1
1778,24.304,49.72,29,400,13137,20027,939.623,0.75,0.78,0
40823,24.62,53.02,1157,415,12878,19442,938.819,1.69,1.76,1
25619,13.52,57.34,0,400,12888,19849,939.856,0.2,0.21,0
7610,-4.119,50.6,282,400,13118,19987,939.478,0.4,0.42,1
23438,-21.097,52.04,1383,410,12977,19386,938.698,1.9,1.98,1
57724,3.593,44.36,102,421,12772,20652,937.556,2.1,2.18,0
29613,19.85,53.91,15,400,13253,20187,939.652,2.35,2.44,1
44423,24.58,53.38,1201,408,12924,19427,938.662,1.59,1.65,1
14386,15.808,52.62,1140,480,12857,19445,938.904,1.6,1.66,1
39315,24.86,51.95,1138,488,12854,19443,938.925,1.81,1.88,1
60923,16.436,61.47,2296,400,13381,20046,936.942,0.91,0.95,0
16361,12.559,52.23,1187,412,12883,19439,938.766,1.66,1.72,1
27974,19.05,48.53,182,400,13144,19994,939.641,0.87,0.91,0
3201,9.093,58.73,0,400,13381,20387,939.688,2.31,2.4,1
10978,6.063,53.07,1050,659,12792,19470,939.093,2.13,2.21,1
3114,10.18,51.33,176,400,13143,19993,939.671,0.74,0.77,0
43143,27.11,47.34,1153,403,12907,19423,938.708,2.07,2.15,1
4688,-6.642,50.34,53,400,13247,20165,939.655,2.27,2.36,1
8332,-4.55,50.82,318,400,13108,19954,939.361,0.34,0.35,1
42216,26.02,53.07,1092,400,12908,19458,938.787,1.43,1.49,1
20053,16.126,48.54,1279,408,12927,19410,938.742,1.49,1.55,1
36095,24.18,53.17,1030,649,12799,19474,939.096,2.34,2.43,1
53494,25.85,48.05,172,433,12773,20544,937.337,1.68,1.75,0
40511,25.03,50.96,1205,438,12867,19431,938.839,1.76,1.83,1
40264,27.15,47.01,1120,438,12874,19457,938.804,1.49,1.55,1
7265,-4.616,50.8,255,400,13133,20012,939.521,0.46,0.48,1
22074,-14.0,53.89,1352,409,12963,19392,938.713,1.59,1.66,1
25731,12.26,56.99,4,400,12927,19870,939.748,0.29,0.3,0
16290,12.434,47.2,1153,408,12878,19429,938.775,1.67,1.73,1
11954,16.354,47.91,1097,593,12819,19459,939.048,2.36,2.45,1
12631,20.423,46.84,1164,589,12815,19445,938.979,2.29,2.38,1
1040,27.123,52.21,10,400,13041,19949,939.75,0.32,0.33,0
31789,21.14,50.21,208,400,13146,20053,939.622,0.51,0.53,1
17565,16.421,52.93,1136,413,12893,19439,938.731,1.4,1.46,1
52070,28.49,43.04,56,400,12796,20701,937.54,1.92,2.0,0
30657,22.08,49.11,49,400,13247,20205,939.73,2.57,2.67,1
41708,25.24,49.56,1164,415,12881,19432,938.757,1.78,1.85,1
20171,14.884,47.66,956,400,13021,19488,938.753,2.21,2.3,1
48486,25.44,48.42,1419,429,12964,19372,938.699,2.17,2.25,1
49063,26.53,48.68,1168,400,13033,19434,938.754,2.03,2.11,1
5556,-9.267,52.38,38,400,13244,20221,939.729,2.37,2.46,1
3465,5.807,58.72,317,400,13117,19899,939.709,1.13,1.17,1
47765,25.88,47.6,1402,426,12958,19378,938.717,1.79,1.85,1
46092,24.87,51.64,1358,409,12945,19384,938.689,1.71,1.77,1
12671,20.527,48.18,1088,556,12831,19467,938.978,1.96,2.04,1
51458,26.68,45.82,50,405,12835,20725,937.563,2.1,2.18,0
55628,52.82,21.48,27055,702,12656,18826,936.885,0.72,0.75,0
42735,24.8,52.35,1143,400,12907,19437,938.712,1.59,1.65,1
27072,19.55,48.02,7,400,13158,20052,939.628,0.87,0.9,0
59126,-4.117,48.17,130,404,12789,20588,937.335,1.91,1.99,0
37077,26.91,47.25,1019,586,12822,19467,938.998,1.97,2.05,1
37374,26.94,47.22,1071,561,12826,19455,938.97,1.88,1.96,1
35373,23.43,54.71,898,698,12778,19497,939.082,2.41,2.5,1
25406,13.89,50.98,12,400,12732,19765,939.834,0.24,0.31,0
29951,20.37,51.35,50,400,13238,20164,939.706,2.39,2.48,1
8396,-4.633,50.42,331,400,13099,19932,939.36,0.35,0.37,1
47389,26.75,48.43,1364,400,12966,19387,938.748,1.75,1.82,1
39562,24.68,52.79,1122,458,12865,19448,938.892,1.95,2.03,1
59823,20.737,45.59,191,444,12763,20531,937.414,1.98,2.05,0
60321,13.363,44.86,0,400,13193,21102,937.436,2.02,2.1,0
9813,-3.852,52.5,694,884,12678,19562,939.161,2.53,2.63,1
42727,25.4,48.89,1199,410,12900,19434,938.709,1.42,1.47,1
490,25.279,52.52,32,400,12760,19763,939.834,0.28,0.29,0
42808,24.54,53.55,1109,400,12912,19459,938.741,1.97,2.05,1
10722,3.288,48.48,1025,676,12794,19481,939.063,2.23,2.31,1
51380,27.43,43.19,70,430,12834,20718,937.584,2.1,2.18,0
52852,28.33,42.93,102,400,12789,20609,937.415,1.88,1.95,0
16830,13.712,47.25,1117,400,12889,19450,938.764,1.32,1.38,1
50066,23.66,68.41,52,1141,13100,19882,931.251,14149.05,44786.43,1
7712,-4.082,51.86,286,400,13119,19979,939.459,0.39,0.4,1
34633,23.59,55.4,711,739,12764,19553,939.159,2.95,3.06,1
9975,-3.039,57.6,785,734,12761,19535,939.129,2.56,2.66,1
34186,18.37,57.81,373,400,13039,19885,939.268,0.32,0.33,1
29709,20.61,49.49,77,400,13229,20138,939.65,2.28,2.36,1
27281,17.54,53.38,26,400,13191,20133,939.58,1.14,1.18,0
27850,19.89,45.43,145,400,13158,20038,939.664,0.95,0.99,0
24596,2.241,54.12,1343,410,12982,19393,938.817,2.08,2.16,1
43164,24.58,53.34,1180,408,12907,19433,938.696,1.59,1.65,1
8691,-4.997,56.1,355,400,13079,19906,939.292,0.16,0.17,1
48870,24.34,54.18,1421,417,12971,19372,938.712,1.57,1.63,1
5296,-9.128,49.11,19,400,13255,20209,939.7,2.34,2.43,1
39708,26.87,47.92,1143,458,12860,19442,938.905,1.65,1.71,1
15129,12.817,48.8,1050,428,12871,19466,938.821,1.85,1.93,1
28055,18.53,52.01,160,400,13165,20013,939.669,0.88,0.92,0
53762,28.65,42.6,157,420,12778,20569,937.316,1.87,1.94,0
14051,17.474,48.34,1111,480,12855,19454,938.902,1.8,1.87,1
5321,-9.162,53.41,31,400,13252,20200,939.705,2.21,2.3,1
52659,25.91,47.52,120,410,12779,20597,937.422,1.75,1.82,0
18900,20.755,53.87,1203,410,12915,19432,938.708,1.65,1.72,1
2500,17.544,47.07,21,400,13215,20152,939.601,0.89,0.92,0
4338,-3.851,48.17,100,400,13237,20110,939.64,2.11,2.2,1
44270,26.9,48.1,1170,404,12925,19438,938.699,1.42,1.48,1
19969,16.914,53.5,1235,408,12925,19425,938.74,1.46,1.52,1
43561,27.09,47.37,1208,400,12916,19421,938.733,1.62,1.69,1
19508,19.846,49.44,1205,400,12926,19419,938.691,1.87,1.94,1
36467,26.39,48.84,1065,623,12813,19472,939.087,2.28,2.37,1
35873,25.48,52.95,938,634,12806,19494,939.059,2.45,2.54,1
38627,26.84,47.85,1097,510,12848,19461,938.855,1.96,2.03,1
8922,-5.193,57.09,361,400,13064,19897,939.255,0.51,0.53,1
23938,-15.298,54.32,1408,413,12969,19380,938.727,1.61,1.67,1
483,25.23,49.62,3,400,12780,19794,939.827,0.18,0.18,0
32473,18.38,56.41,285,400,13120,19990,939.474,0.55,0.57,1
23482,-20.812,48.04,1354,400,12979,19387,938.709,2.35,2.44,1
22127,-14.703,53.43,1385,410,12957,19383,938.705,1.87,1.95,1
37351,24.41,53.24,1059,579,12816,19463,938.991,2.11,2.19,1
17462,15.992,53.07,1078,400,12912,19454,938.727,1.6,1.66,1
12919,20.848,47.36,1017,522,12839,19463,938.904,1.72,1.79,1
37533,24.44,53.27,1143,575,12819,19447,938.965,1.94,2.01,1
16287,12.429,47.32,1138,404,12879,19438,938.787,1.76,1.83,1
